"person_id","GALLERY","Book Date","Admission Type","Offense","Hispanic / Latino","RACE","GENDER","Release Date","DEGREE","GRADE"
"75d183466267583adf2e274bec35af6d","830964",2021-12-30,"HOLD OTHER LAW ENFORCEMENT","Theft","Not Hispanic or Latino","White","F","2022-01-04","M","A"
"7b6d60d8b2fa5cd2984367a63144af7c","830965",2022-03-22,"HOLD OTHER LAW ENFORCEMENT","Operating a Vehicle as an Habitual Traffic Violator","Not Hispanic or Latino","White","M","2022-03-25","F","6"
"e10af3f1886ce06acdb0bee157762ef2","830972",2021-07-27,"OUTRIGHT WITH HOLD","Rape","Hispanic or Latino","White","M","2022-02-25","F","3"
"503cfdb2913b86de76ae4ad57213a4e3","831059",2022-01-19,"OUTRIGHT ONLY",NA,"Not Hispanic or Latino","Black","M","2022-01-27",NA,NA
"97bd8eb32015db7e9307a2a38b5955f7","831073",2022-01-03,"OUTRIGHT ONLY","Domestic Battery","Hispanic or Latino","White","M","2022-01-05","M","A"
"1e958f421b592a8032090fd8e88031ab","831095",2021-11-25,"OUTRIGHT ONLY","Possession of Methamphetamine","Not Hispanic or Latino","White","M","2022-02-07","F","5"
"c1a1b76c3c4f3f00d87135ef7c8d50f2","831101",2022-01-06,"OUTRIGHT ONLY","Auto Theft","Not Hispanic or Latino","White","M","2022-01-11","F","6"
"a9bd1da55857c0f53b6c360942927fc7","831123",2021-12-17,"WARRANT ONLY","Dealing in Cocaine","Not Hispanic or Latino","Black","M","2022-01-06","F","2"
"f5b66f0fab282d5bbad1b6246ca6ee7e","831127",2021-12-20,"WARRANT ONLY","Theft","Not Hispanic or Latino","White","M","2022-01-15","F","6"
"f5b66f0fab282d5bbad1b6246ca6ee7e","831127",2022-01-20,"OUTRIGHT ONLY","Unlawful Possession of Syringe","Not Hispanic or Latino","White","M","2022-01-25","F","6"
"1081c7a73fd4b31f63b702281da3b233","831143",2022-01-27,"WARRANT ONLY","Unlawful Possession of Syringe","Not Hispanic or Latino","White","F","2022-01-28","F","6"
"5921716491b62c7d0776b2acab4bd227","831173",2021-12-27,"HOLD OTHER LAW ENFORCEMENT","Resisting Law Enforcement","Not Hispanic or Latino","White","M","2022-01-11","M","A"
"f62bdd66d060cefcc276578fd6e26c65","831203",2022-03-23,"OUTRIGHT WITH WARRANTS","Auto Theft","Not Hispanic or Latino","White","M","2022-03-29","F","6"
"9ed18b73eb763ea0c5973a4f7b6a0e68","831224",2022-01-26,"WARRANT ONLY","Criminal Trespass","Not Hispanic or Latino","White","F","2022-01-27","M","A"
"45f988040f53b000ad9e880f064f1c4c","831425",2022-02-19,"OUTRIGHT WITH WARRANTS","Theft",NA,"Black","M","2022-03-08","M","A"
"b950a6da86641267525024ef23465bcd","831440",2022-01-06,"REMAND","Operating a Vehicle While Intoxicated","Not Hispanic or Latino","White","M","2022-01-08","F","6"
"93a29f40ef8336bad430200e0c828d15","831454",2022-03-09,"WARRANT ONLY","Criminal Recklessness","Not Hispanic or Latino","Black","M","2022-03-21","F","5"
