"UniqueID","SEX","RACE","ETHNICITY","DOCNUM","COUNTY","RECVDT","INTKDT","RECFAC","RECVCD","INTKSTCD","CREDITCLASS","SENTENCE_TERM_YEARS","SENTENCE_TERM_MONTHS","SENTENCE_TERM_DAYS","person_id","admit_row_id"
2,"M","B",NA,"100000","79",2018-12-13,"01/04/2000","RDC","33","1",NA,NA,NA,NA,"558379599cc0a742323a1b6223b52f1d",2
3,"M","B",NA,"100000","12",2020-08-24,"08/24/2020","COA","2","2",NA,NA,NA,NA,"558379599cc0a742323a1b6223b52f1d",3
6,"M","W",NA,"100007","73",2021-05-12,"05/12/2021","COA","2","2",NA,NA,NA,NA,"bf55c24538eccdb07dfed736baf1cf03",6
7,"M","W",NA,"100010","33",2021-02-17,"02/17/2021","COA","2","2",NA,NA,NA,NA,"b6c3a81950f1086a89ae8d2669af593a",7
8,"M","W",NA,"100018","9",2023-01-03,"2023-01-03","COA","2","2",NA,NA,NA,NA,"fce265b18b49fa058cc41c630360f1ea",8
11,"M","AI",NA,"100045","89",2021-01-27,"01/27/2021","COA","56","56",NA,NA,NA,NA,"e78e28ed71b9f685e9acac9bb1fffe87",11
12,"M","W",NA,"100048","12",2021-04-19,"04/19/2021","COA","56","56",NA,NA,NA,NA,"d0b08250d5ce3ede9a87cbe6d39639c4",12
13,"M","W",NA,"100063","49",2019-09-16,"09/16/2019","COA","58","58",NA,NA,NA,NA,"ea378e89aef00e0beb3d8c4ed395f34c",13
14,"M","W",NA,"100063","49",2022-10-06,"2022-10-06","COA","2","2",NA,NA,NA,NA,"ea378e89aef00e0beb3d8c4ed395f34c",14
15,"Male","White","Nonhispanic","100063","Marion",2023-09-06,"2023-09-22",NA,NA,NA,"B","1","2","26","ea378e89aef00e0beb3d8c4ed395f34c",15
16,"Male","White","Nonhispanic","100063","Marion",2023-09-22,"2023-09-22",NA,NA,NA,"B","1","2","26","ea378e89aef00e0beb3d8c4ed395f34c",16
20,"M","W",NA,"100088","35",2022-12-06,"2000-01-12","RDC","34","1",NA,NA,NA,NA,"e780da604724dc3ca19abf7065195aed",20
25,"M","U",NA,"100162","84",2018-07-05,"07/05/2018","COA","2","2",NA,NA,NA,NA,"3549941399082da9bcead5c8407a92e2",25
26,"M","U",NA,"100162","84",2020-03-17,"07/05/2018","RDC","33","2",NA,NA,NA,NA,"3549941399082da9bcead5c8407a92e2",26
28,"M","W",NA,"100207","22",2022-01-31,"2017-08-31","BTC","33","2",NA,NA,NA,NA,"044671792961e4278aeb59c16ed7f52a",28
29,"M","W",NA,"100225","75",2018-11-26,"11/26/2018","RDC","2","2",NA,NA,NA,NA,"efb2aaaa03f30b81ec5b55e8be993260",29
30,"M","W",NA,"100236","18",2019-02-28,"02/28/2019","COA","2","2",NA,NA,NA,NA,"52e725ab938391639b30a608b1c6203c",30
35,"M","W",NA,"100241","73",2020-02-12,"02/12/2020","COA","2","2",NA,NA,NA,NA,"ffdcab0c1ea555a550cea4da7c7e1eea",35
36,"F","W",NA,"100274","25",2022-06-08,"2022-06-08","COA","57","57",NA,NA,NA,NA,"d69f3775cb4a304872a6589b3003967c",36
