"GALLERY","num_arrests"
"183286",4
"205421",4
"208479",6
"238719",3
"252324",3
"252401",9
"258790",4
"261519",3
"269077",5
"269131",3
"277178",3
"279588",3
"279904",3
"282814",6
"290008",3
"291794",3
"295090",4
"297299",5
"297312",3
"297613",4
"299688",3
"300182",8
"300856",3
"302451",4
"303172",3
"305604",3
"309356",3
"314884",3
"315830",5
"316077",3
"316214",3
"320756",3
"324661",3
"328371",3
"331268",3
"332196",3
"332201",3
"336786",3
"337084",3
"340526",5
"345473",3
"345578",3
"350865",4
"350945",3
"353560",3
"354004",3
"354482",3
"361590",3
"363065",3
"363582",3
"365465",5
"367729",3
"368797",3
"372925",3
"373641",4
"374534",5
"400579",3
"400877",3
"401015",4
"401239",3
"402012",3
"402470",3
"405103",3
"411166",5
"411808",3
"417070",3
"417559",3
"418311",5
"418815",3
"419301",4
"422768",3
"427750",3
"430353",5
"430466",3
"430616",4
"430687",4
"436062",3
"436986",3
"437565",3
"439019",8
"440133",3
"440825",3
"445186",3
"447855",4
"447919",3
"448505",5
"449853",3
"452407",6
"455461",4
"458494",4
"460182",3
"461553",4
"461865",3
"462456",3
"462869",3
"463395",3
"464006",3
"465312",8
"465985",3
"468137",3
"468528",6
"469511",3
"470007",7
"470045",3
"472257",4
"472555",3
"472796",3
"472976",3
"476205",5
"476236",4
"477350",3
"478045",3
"478913",3
"479743",4
"480061",4
"482209",5
"482641",4
"483099",3
"484071",5
"484648",6
"485748",6
"486008",3
"487256",3
"487278",5
"488526",3
"488740",3
"488969",4
"490068",4
"490076",3
"493670",3
"493980",3
"494809",4
"495539",4
"496276",4
"497519",9
"497819",4
"498237",5
"500198",4
"501851",3
"502456",3
"504416",3
"506218",3
"506980",3
"508883",3
"509219",6
"509692",5
"509991",3
"512517",3
"513097",3
"514012",4
"514767",4
"515860",3
"517500",3
"517765",3
"519434",3
"519619",3
"520047",3
"520109",3
"521089",5
"522064",4
"522975",4
"523458",3
"525332",3
"526404",4
"526972",4
"527977",4
"528123",3
"529809",3
"529956",3
"531010",4
"531776",3
"532104",3
"533229",4
"533677",4
"533780",4
"534541",3
"534560",3
"534819",3
"535758",4
"536293",4
"537344",3
"537562",5
"540699",3
"543168",4
"544419",3
"544835",4
"545031",3
"545330",3
"545976",3
"546995",3
"548192",3
"551802",4
"552657",3
"553016",3
"553238",8
"555029",3
"555689",4
"557527",3
"557843",5
"559125",4
"559512",4
"561091",3
"561433",3
"563376",3
"564226",4
"565471",4
"565644",3
"565937",3
"567319",3
"567761",3
"569938",5
"570286",3
"570890",4
"571859",3
"571999",3
"573029",3
"573594",4
"574290",3
"574353",3
"574733",4
"574900",4
"576797",5
"579189",4
"580155",3
"580279",3
"582544",4
"582624",3
"582637",5
"583498",3
"585700",4
"586628",3
"586791",3
"588476",4
"588575",3
"589213",6
"589580",3
"590931",3
"591439",4
"591960",3
"592339",3
"592379",3
"592517",3
"593610",3
"593650",4
"593850",3
"593932",5
"594668",11
"594798",3
"596660",4
"597397",4
"599216",3
"600400",4
"600504",3
"600597",4
"601535",6
"601586",5
"602217",4
"603168",3
"603991",4
"603994",3
"604406",4
"604517",4
"604801",3
"605508",4
"605540",3
"605863",6
"606232",5
"606489",3
"606610",3
"607281",3
"607644",3
"607732",3
"607778",3
"608034",3
"609117",5
"609977",4
"610340",3
"611207",3
"611384",3
"611401",3
"612154",5
"612350",6
"612550",3
"612572",3
"612771",7
"612991",3
"613042",4
"614849",3
"615528",3
"615538",3
"615913",4
"615983",3
"616372",3
"618665",3
"618681",3
"619248",3
"619463",3
"620733",3
"621006",3
"621029",3
"621523",3
"621625",4
"621839",5
"621956",5
"623088",3
"624213",4
"624716",6
"624968",3
"625507",4
"625539",3
"626841",7
"627779",3
"628090",3
"628632",4
"628663",3
"629137",3
"629175",3
"629686",4
"629712",3
"630462",3
"630570",4
"630803",4
"631123",3
"632419",3
"632634",3
"632954",3
"633039",3
"634723",3
"635681",3
"636832",4
"637082",5
